village,vlcode,block,district,area_m2,area_km2,centroid_x,centroid_y,area_exposure_score,coastal_exposure_score,coastal_exposure_category,exposure_method,exposure_data_quality,shoreline_distance_available,village_erosion_rate_available
Naranpur,396707,Marsaghai,Kendrapara,766001.8805903448,0.7660018805903448,4651117.1031512,3628646.0617332803,0.041748081338415115,0.041748081338415115,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Dihabalarampur,396713,Marsaghai,Kendrapara,2215599.4065915705,2.2155994065915703,4654582.66586377,3629450.4903175705,0.12252532926329705,0.12252532926329705,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Aitpur,396711,Marsaghai,Kendrapara,3213781.4644917897,3.2137814644917895,4652862.706200478,3630685.8263397245,0.17814794044944962,0.17814794044944962,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Odang,396781,Marsaghai,Kendrapara,1252999.017805447,1.252999017805447,4657758.469536377,3624681.2846440393,0.06888546794809591,0.06888546794809591,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Surtipur,396490,Marsaghai,Kendrapara,603658.225147477,0.603658225147477,4650012.538162244,3630888.658500529,0.03270165743831731,0.03270165743831731,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Gobindpur,395658,Rajkanika,Kendrapara,71444.30575583811,0.07144430575583811,4681467.2566186385,3660885.889578546,0.00304461474567187,0.00304461474567187,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Laxmiprasad,395975,Rajnagar,Kendrapara,234156.0058559193,0.2341560058559193,4698998.976505593,3647827.3637955366,0.012111547534609442,0.012111547534609442,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Padmanavpatna,396054,Rajnagar,Kendrapara,16806.816656716346,0.016806816656716347,4695524.2769729085,3641125.93237371,0.0,0.0,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Ratanpur,396893,Marsaghai,Kendrapara,453795.80200215726,0.45379580200215724,4662711.041388208,3616938.8793301475,0.024350736653824447,0.024350736653824447,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Khamaganbindha,396940,Marsaghai,Kendrapara,315401.2310148906,0.3154012310148906,4661620.224318152,3621659.5466330117,0.016638849477158102,0.016638849477158102,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Potari,396892,Marsaghai,Kendrapara,844414.8698592335,0.8444148698592335,4661892.243153399,3616878.9877998508,0.04611756001169672,0.04611756001169672,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Raipur,396958,Mahakalapada,Kendrapara,1025234.9104856377,1.0252349104856378,4668840.751622898,3618902.113966026,0.05619356041144763,0.05619356041144763,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Samjori,396954,Mahakalapada,Kendrapara,1073848.576559022,1.073848576559022,4667183.33348667,3618992.9692735495,0.058902504160668584,0.058902504160668584,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Pailo,396872,Marsaghai,Kendrapara,1831522.6936041126,1.8315226936041127,4658192.235327261,3619057.26680364,0.10112307152576877,0.10112307152576877,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Barunei,396075,Rajnagar,Kendrapara,342709.96652752627,0.3427099665275263,4693202.962879575,3638239.392654708,0.01816059910728084,0.01816059910728084,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Madhuraganda Khamar,396953,Mahakalapada,Kendrapara,1082598.9975989042,1.082598997598904,4666822.620143437,3619999.0776111363,0.0593901118704689,0.0593901118704689,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Khurusia,396962,Mahakalapada,Kendrapara,1128782.7747246197,1.1287827747246197,4669438.150014466,3618273.6436197865,0.0619636526968543,0.0619636526968543,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Nachhipada,396888,Marsaghai,Kendrapara,1024558.6558625877,1.0245586558625877,4661211.7873557415,3618805.376309863,0.05615587685696671,0.05615587685696671,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Manikipur,396880,Marsaghai,Kendrapara,1021038.6500261499,1.02103865002615,4661162.240613504,3621436.74857609,0.055959728354332806,0.055959728354332806,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Gopalapur,396948,Mahakalapada,Kendrapara,1159478.959813821,1.1594789598138209,4664611.633086293,3620843.8991346755,0.06367416427598097,0.06367416427598097,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Mantei,396874,Marsaghai,Kendrapara,387241.55706484156,0.38724155706484154,4659340.293561264,3618820.312809334,0.020642073630243705,0.020642073630243705,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Antei,396873,Marsaghai,Kendrapara,1070308.7391333529,1.0703087391333528,4659023.075893306,3618274.027086966,0.05870525056426115,0.05870525056426115,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Beruhan,396942,Marsaghai,Kendrapara,2709264.8975621928,2.7092648975621927,4663164.5687391665,3620573.2680068156,0.15003430264440837,0.15003430264440837,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Khamagan,396882,Marsaghai,Kendrapara,1101779.17265501,1.10177917265501,4661441.486411854,3620517.4488007226,0.06045890629648007,0.06045890629648007,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Naladiapalanda,396956,Mahakalapada,Kendrapara,2594085.1298860377,2.5940851298860377,4666707.622154671,3617165.578721609,0.1436160351718001,0.1436160351718001,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Badaghai,396955,Mahakalapada,Kendrapara,593754.6428625099,0.5937546428625099,4666730.650694058,3617904.9319212283,0.03214979107042687,0.03214979107042687,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Batira,396887,Marsaghai,Kendrapara,1343015.2221489407,1.3430152221489406,4661002.488738236,3617575.5981915877,0.07390152318072954,0.07390152318072954,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Nuagan,396945,Mahakalapada,Kendrapara,1540571.5784304503,1.5405715784304503,4663680.762169504,3617886.6161500434,0.08491013659531557,0.08491013659531557,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Dhaniapada,396944,Mahakalapada,Kendrapara,1015290.3544434082,1.0152903544434082,4662929.729569008,3618051.1872693286,0.055639410825429794,0.055639410825429794,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Madhusudanpur,396891,Marsaghai,Kendrapara,925609.3380517454,0.9256093380517454,4662347.985034189,3618071.929671233,0.05064203357740969,0.05064203357740969,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Sereinpur,396951,Mahakalapada,Kendrapara,1693638.0310466564,1.6936380310466563,4665488.08388724,3619868.4170037466,0.09343959844261111,0.09343959844261111,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Ramachandrapur,396884,Marsaghai,Kendrapara,857882.0649665836,0.8578820649665836,4660237.955787232,3618589.5918711345,0.04686800483415722,0.04686800483415722,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Baripal,396886,Marsaghai,Kendrapara,592683.2845503909,0.5926832845503909,4660044.894835965,3617375.9540408547,0.032090090791941195,0.032090090791941195,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Balighai,396885,Marsaghai,Kendrapara,554660.3511933475,0.5546603511933474,4659797.667804397,3618657.446003172,0.02997130412217796,0.02997130412217796,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Mangarajpur,396890,Marsaghai,Kendrapara,1223138.8235197077,1.2231388235197076,4661946.910463768,3618518.310447009,0.06722154104863576,0.06722154104863576,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Ameipal,396952,Mahakalapada,Kendrapara,1559717.5209323326,1.5597175209323326,4666229.026424213,3618776.130622657,0.08597702344941797,0.08597702344941797,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Tikhiri,396946,Mahakalapada,Kendrapara,4270206.057649001,4.270206057649,4664820.702696476,3618270.45419939,0.237016053663469,0.237016053663469,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Balisuan,396947,Mahakalapada,Kendrapara,1285527.6496401206,1.2855276496401207,4664014.631706672,3619878.3332161894,0.0706980906321418,0.0706980906321418,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Mahanangala,396957,Mahakalapada,Kendrapara,1534411.13128335,1.5344111312833502,4668320.590406333,3619150.9871124798,0.08456685236807068,0.08456685236807068,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Alifa,396943,Marsaghai,Kendrapara,949425.0200350819,0.9494250200350819,4662269.3741490105,3620420.1844214364,0.05196913659294457,0.05196913659294457,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Kalagarh,396959,Mahakalapada,Kendrapara,7248385.909892048,7.248385909892048,4668131.243947875,3620905.594590213,0.4029718917319465,0.4029718917319465,MODERATE,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Potari,396889,Marsaghai,Kendrapara,559374.349875622,0.559374349875622,4662240.109302302,3619418.6384547106,0.03023398657951221,0.03023398657951221,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Bauda,396950,Mahakalapada,Kendrapara,1970816.3010825643,1.9708163010825643,4666038.370621008,3621050.4271737915,0.10888505653458463,0.10888505653458463,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Ramachandrapur,396974,Mahakalapada,Kendrapara,662005.0099307332,0.6620050099307332,4674283.477694354,3618171.1090269783,0.035952968657823915,0.035952968657823915,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Jadupur,396933,Mahakalapada,Kendrapara,2958958.646226915,2.958958646226915,4670432.311908469,3622121.608024372,0.16394821563018866,0.16394821563018866,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Tekarapanga,396969,Mahakalapada,Kendrapara,2158190.232127475,2.1581902321274753,4673021.695657,3619289.701477701,0.11932626536061412,0.11932626536061412,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Gokha Khati,397104,Mahakalapada,Kendrapara,1300017.3845105513,1.3000173845105514,4676667.064858169,3621454.588620081,0.07150551537245804,0.07150551537245804,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Naladiasasan,396967,Mahakalapada,Kendrapara,1773959.2100665995,1.7739592100665995,4671202.413243834,3620569.34022902,0.0979154089175438,0.0979154089175438,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Rajendra Nagar,397117,Mahakalapada,Kendrapara,2879904.75976742,2.8799047597674203,4680294.854548565,3620642.2924699956,0.15954302365695217,0.15954302365695217,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Masakani,396932,Mahakalapada,Kendrapara,1399698.7231044646,1.3996987231044646,4670931.7353009675,3621355.2665125164,0.07706014971520306,0.07706014971520306,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Raula,396929,Mahakalapada,Kendrapara,1267572.6392616404,1.2675726392616404,4674642.428759564,3621575.822750526,0.06969756717730591,0.06969756717730591,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Tentuli Kandha,397118,Mahakalapada,Kendrapara,1565938.0077944198,1.5659380077944198,4679138.757287888,3621061.4700146993,0.08632365332457953,0.08632365332457953,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Chhanda,396976,Mahakalapada,Kendrapara,832310.2517146802,0.8323102517146802,4675228.094734304,3618431.7742338097,0.045443043310777774,0.045443043310777774,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Dekani,396964,Mahakalapada,Kendrapara,741867.6332651522,0.7418676332651523,4671043.7441577185,3617965.621403361,0.04040322661515598,0.04040322661515598,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Patalipanka,396970,Mahakalapada,Kendrapara,1470238.0650808883,1.4702380650808884,4671451.701906334,3617072.782600479,0.08099087794361395,0.08099087794361395,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Kodakan,396973,Mahakalapada,Kendrapara,733096.0095095304,0.7330960095095304,4673442.17255702,3617605.0746629424,0.03991443740704647,0.03991443740704647,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Chheda Kani,397107,Mahakalapada,Kendrapara,1007880.1102986372,1.0078801102986372,4678454.847097033,3621944.5605430054,0.05522648301772494,0.05522648301772494,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Khurusiapat,396963,Mahakalapada,Kendrapara,627262.9453863061,0.6272629453863061,4670461.263380364,3617496.7113217013,0.03401700483973648,0.03401700483973648,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Koratapanga,396965,Mahakalapada,Kendrapara,1882401.34230159,1.88240134230159,4671658.845504844,3618780.3973342935,0.10395822897202646,0.10395822897202646,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Akhadasali,397121,Mahakalapada,Kendrapara,2535422.407603296,2.535422407603296,4679869.548536646,3618565.3484331938,0.1403471186782316,0.1403471186782316,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Naladia,396971,Mahakalapada,Kendrapara,786683.306070231,0.7866833060702311,4672788.716242339,3616998.845007266,0.0429005313139867,0.0429005313139867,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Dasarajapur,397120,Mahakalapada,Kendrapara,1268740.2307346382,1.2687402307346383,4678401.322138031,3618776.9264926864,0.06976262994417574,0.06976262994417574,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Bandhakud,396961,Mahakalapada,Kendrapara,1595979.7977383512,1.5959797977383512,4670057.805858957,3618778.4668720816,0.08799769944488597,0.08799769944488597,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Gatanai Nuasahi,396966,Mahakalapada,Kendrapara,1223940.5420480268,1.2239405420480267,4670828.884163999,3619699.670649429,0.06726621594298844,0.06726621594298844,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Purusottampur,396979,Mahakalapada,Kendrapara,1108655.3941690887,1.1086553941690886,4674792.969010137,3619585.4178281003,0.060842076273019255,0.060842076273019255,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Nuagan,396931,Mahakalapada,Kendrapara,2115503.308993527,2.115503308993527,4672443.63060255,3621641.4871622743,0.11694758292546047,0.11694758292546047,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Gararomita,396983,Mahakalapada,Kendrapara,6020979.136777289,6.02097913677729,4676936.143937179,3619402.6807991522,0.3345759822203802,0.3345759822203802,MODERATE,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Narayanpur,396968,Mahakalapada,Kendrapara,1788277.4044011459,1.7882774044011458,4672299.060968165,3619940.1612763144,0.09871327474778481,0.09871327474778481,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Harishpur,396048,Rajnagar,Kendrapara,607062.5081145322,0.6070625081145322,4693322.505722688,3639339.5033959844,0.03289135740972581,0.03289135740972581,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Subala,396928,Mahakalapada,Kendrapara,2412921.699912543,2.412921699912543,4675713.50138736,3621634.6775499852,0.13352089977359125,0.13352089977359125,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Sathiabati,397103,Mahakalapada,Kendrapara,683370.5799123937,0.6833705799123937,4677601.838811957,3621187.925717764,0.03714354184280019,0.03714354184280019,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Nalitajori Pal,397119,Mahakalapada,Kendrapara,1051033.700115392,1.051033700115392,4678846.772859098,3619573.348691595,0.057631169946994514,0.057631169946994514,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Nunimatia Kandha,397105,Mahakalapada,Kendrapara,1245319.4408260055,1.2453194408260055,4677548.7094307365,3621924.4435392492,0.06845753186066494,0.06845753186066494,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Anantapur,396977,Mahakalapada,Kendrapara,727562.627803696,0.727562627803696,4674278.194189871,3618885.9963592687,0.03960609572054526,0.03960609572054526,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Guptagiri,397116,Mahakalapada,Kendrapara,806499.0408484606,0.8064990408484606,4680740.698651576,3621751.979922063,0.04400474161531788,0.04400474161531788,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Belar,396930,Mahakalapada,Kendrapara,3032479.0981900315,3.0324790981900316,4673717.791835338,3622372.72896493,0.16804506297522823,0.16804506297522823,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Madhusudanpur,396981,Mahakalapada,Kendrapara,556159.7297783074,0.5561597297783074,4675377.3098268155,3620069.6686611185,0.03005485536555285,0.03005485536555285,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Taradeipur,396978,Mahakalapada,Kendrapara,1118346.5032175789,1.1183465032175788,4673861.69344138,3619795.2628239957,0.061382102800545416,0.061382102800545416,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Karanjia,396049,Rajnagar,Kendrapara,285198.1083225317,0.2851981083225317,4693720.388042775,3638965.190448374,0.014955813264647181,0.014955813264647181,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Bahargadabadadandua,397122,Mahakalapada,Kendrapara,759975.2155856942,0.7599752155856941,4679861.22857793,3619671.1890786216,0.041412251975775555,0.041412251975775555,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Thantapalanda,396960,Mahakalapada,Kendrapara,658511.8664458339,0.6585118664458339,4669878.948017809,3619845.6859743646,0.03575831703055793,0.03575831703055793,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Srirampur,396982,Mahakalapada,Kendrapara,552381.7190391583,0.5523817190391583,4676500.971752438,3620318.0009472403,0.02984432981989953,0.02984432981989953,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Nandanpur,396980,Mahakalapada,Kendrapara,1172601.3816690254,1.1726013816690255,4674489.827644168,3620765.2737791515,0.06440539698337719,0.06440539698337719,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Paunsiapal,396975,Mahakalapada,Kendrapara,251071.47416280984,0.25107147416280984,4674565.500358424,3617917.862798454,0.013054143636411856,0.013054143636411856,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
