id,objectid_1,objectid,village,vlcode,gram_panchayat_name,gram_panchayat_code,block,bkcode,subdistric,sdcode,sub_district_head_quarter,district,dtcode,district_head_quarter,state,stcode,uqcode,country,total_urban_rural,total_households,total_population_village,avg_household,total_geographical_area,total_male_population_village,total_female_population_village,tapwater_treated_status,tapwater_untreated_status,covered_well_status,covered_well_function_year,covered_well_functioning_summer,uncovered_well_status,uncovered_well_function_year,uncovered_well_function_summer,handpump_status,hand_pump_function_year,hand_pump_function_summer,tubewell_borehole_status,tube_wells_borehole_function_year,tube_wells_borehole_function_Summer,spring_status,spring_functioning_all_round_year,spring_functioning_summer_month,river_canal_status,tank_pond_lake_status,others_status,closed_drainage_status,open_drainage_status,village_pin_code_status,forest_area,area_under_non_agricultural_use,barren_uncultivable_land,permanent_pastures_grazing,land_under_miscellaneous,culturable_waste_land,fallows_land_other_than_current,current_fallows_area,net_area_sown,total_unirrigated_land,area_irrigated_by_source,canals_area,wells_tube_wells_area,tanks_lakes_area,waterfall_area,other_source_specify_area,nearest_town_name,nearest_town_distance_from_village,shape_leng,shape_length,shape_area,ds_name,src_agency,state_name,latitude,longitude
327,327,34776.0,Mullakkal Part,628228,Kainakary,72,Champakkulam,113,Ambalappuzha,5674,Alappuzha,Alappuzha,554,Alappuzha,KL,32, ,India,Rural,112.0,497.0,4.4375,58.0,243.0,254.0,Available,Not Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available, , ,Not Available, , ,Not Available, , ,Available,Available,Not Available,Not Available,Available,Available,0.0,5.0,0.0,11.0,0.0,0.0,0.0,0.0,42.0,25.0,17.0,0.0,0.0,17.0,0.0,0.0,Alappuzha,2.0,16862.35535509454,16862.35535509454,8699204.76359481,Administrative Boundary,Survey of India (SOI),Kerala,9.516164187108133,76.36919440642106
297,297,34746.0,Nedumudi,628245,Nedumudi,01,Champakkulam,113,Kuttanad,5675,Mancomb,Alappuzha,554,Alappuzha,KL,32, ,India,Rural,3668.0,14601.0,3.9806434,2023.0,7049.0,7552.0,Available,Not Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available, , ,Available,Available,Available,Not Available, , ,Available,Available,Not Available,Not Available,Not Available,Available,0.0,283.0,0.0,0.0,0.0,0.0,210.0,210.0,1290.0,1.0,1739.0,427.0,0.0,0.0,0.0,1312.0,Alappuzha,12.0,24512.233853814905,24512.233853814905,21349573.03029936,Administrative Boundary,Survey of India (SOI),Kerala,9.422639276050337,76.38890282624493
305,305,34754.0,Thakazhy,628246,Thakazhy,73,Champakkulam,113,Kuttanad,5675,Mancomb,Alappuzha,554,Alappuzha,KL,32, ,India,Rural,3858.0,15758.0,4.08449974,2527.0,7469.0,8289.0,Available,Not Available,Not Available, , ,Available,Not Available,Not Available,Not Available, , ,Available,Not Available,Not Available,Not Available, , ,Available,Available,Not Available,Not Available,Not Available,Available,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,2327.0,376.0,1951.0,0.0,0.0,0.0,0.0,1951.0,Alappuzha,20.0,28496.523887744745,28496.523887744745,26235832.541334927,Administrative Boundary,Survey of India (SOI),Kerala,9.366441077982739,76.42146678059625
312,312,34761.0,Thalavady,628249,"Thalavady, Nedumpuram","08, 92",Champakkulam,113,Kuttanad,5675,Mancomb,Alappuzha,554,Alappuzha,KL,32, ,India,Rural,5250.0,20556.0,3.91542857,1576.0,9767.0,10789.0,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,0.0,469.0,0.0,0.0,0.0,0.0,34.0,34.0,1050.0,126.0,981.0,0.0,0.0,0.0,0.0,981.0,Thiruvalla,8.0,21671.8045794506,21671.8045794506,15803690.55197884,Administrative Boundary,Survey of India (SOI),Kerala,9.368766949823417,76.49595526055604
466,466,34915.0,Ennakkad,628267,Budhannoor,01,Chengannur,117,Chengannur,5677,Chengannur,Alappuzha,554,Alappuzha,KL,32, ,India,Rural,4860.0,18444.0,3.79506173,1295.0,8710.0,9734.0,Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Available,Available,Available,Not Available, , ,Available,Not Available,Not Available,Available,Available,Available,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1282.0,144.0,1138.0,294.0,320.0,0.0,364.0,160.0,Chengannur,9.0,24349.0727776348,24349.0727776348,13643482.160295378,Administrative Boundary,Survey of India (SOI),Kerala,9.295284075879193,76.55942810964814
465,465,34914.0,Mulakuzha Part,628271,"Mulakuzha, Kulanada","04, 93",Chengannur,117,Chengannur,5677,Chengannur,Alappuzha,554,Alappuzha,KL,32, ,India,Rural,7694.0,28390.0,3.68988822,2278.0,13091.0,15299.0,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Available,Available,0.0,387.0,0.0,0.0,63.0,0.0,95.0,95.0,1733.0,155.0,1736.0,526.0,1210.0,0.0,0.0,0.0,Chengannur,6.0,27428.118918579108,27428.118918579108,24574393.828173045,Administrative Boundary,Survey of India (SOI),Kerala,9.283330415854401,76.64738939239967
464,464,34913.0,Puliyoor Part,628273,"Puliyoor, Cheriyanad","06, 07",Chengannur,117,Chengannur,5677,Chengannur,Alappuzha,554,Alappuzha,KL,32, ,India,Rural,4459.0,16531.0,3.70733348,1166.0,7586.0,8945.0,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available, , ,Available,Available,Not Available,Available,Available,Available,0.0,307.0,2.0,0.0,0.0,0.0,105.0,105.0,402.0,50.0,807.0,662.0,65.0,0.0,0.0,80.0,Chengannur,3.0,27264.65000017219,27264.65000017219,11128231.829487745,Administrative Boundary,Survey of India (SOI),Kerala,9.299310545410846,76.58698547569175
481,481,34930.0,Thiruvanvandoor,628269,Thiruvanvandoor,03,Chengannur,117,Chengannur,5677,Chengannur,Alappuzha,554,Alappuzha,KL,32, ,India,Rural,3344.0,12712.0,3.80143541,888.0,5972.0,6740.0,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available, , ,Available,Available,Not Available,Available,Available,Available,0.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,739.0,28.0,711.0,436.0,243.0,0.0,0.0,32.0,Chengannur,3.0,18762.9292787527,18762.9292787527,8952385.654941425,Administrative Boundary,Survey of India (SOI),Kerala,9.343485476498401,76.57871569410553
304,304,34753.0,Cheruthana,628251,"Cheruthana, Karuvatta","02, 01",Haripad,115,Karthikappally,5676,Haripad,Alappuzha,554,Alappuzha,KL,32, ,India,Rural,3274.0,12882.0,3.93463653,1425.0,6017.0,6865.0,Available,Not Available,Not Available, , ,Available,Available,Available,Available,Not Available,Not Available,Available,Available,Available,Not Available, , ,Available,Available,Not Available,Not Available,Available,Available,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1397.0,348.0,1049.0,0.0,0.0,0.0,0.0,1049.0,Kayamkulam,20.0,20981.850702726013,20981.850702726013,14873686.38389515,Administrative Boundary,Survey of India (SOI),Kerala,9.328588234242833,76.44555965080916
303,303,34752.0,Karuvatta,628250,Karuvatta,01,Haripad,115,Karthikappally,5676,Haripad,Alappuzha,554,Alappuzha,KL,32, ,India,Rural,3892.0,14755.0,3.79110997,1440.0,6781.0,7974.0,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Available,Available,Available,Not Available, , ,Available,Available,Available,Not Available,Available,Available,0.0,463.0,0.0,0.0,0.0,0.0,9.0,9.0,850.0,164.0,813.0,172.0,0.0,0.0,0.0,640.0,Kayamkulam,20.0,17484.217932516207,17484.217932516207,14858710.99811977,Administrative Boundary,Survey of India (SOI),Kerala,9.322534813425952,76.41618471437174
309,309,34758.0,Veeyapuram,628252,"Veeyapuram, Cheruthana, Haripad","03, 02, 04",Haripad,115,Karthikappally,5676,Haripad,Alappuzha,554,Alappuzha,KL,32, ,India,Rural,2949.0,11392.0,3.86300441,1403.0,5239.0,6153.0,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available, , ,Available,Available,Not Available,Not Available,Not Available,Available,0.0,282.0,0.0,0.0,0.0,0.0,0.0,0.0,1121.0,93.0,1027.0,0.0,0.0,0.0,0.0,1027.0,Kayamkulam,16.0,23897.339782515195,23897.339782515195,13799114.628509682,Administrative Boundary,Survey of India (SOI),Kerala,9.3174897729288,76.47065672576754
345,345,34794.0,Cherthala North Part,628211,Cherthala South,06,Kanjikkuzhi,110,Cherthala,5673,Cherthala,Alappuzha,554,Alappuzha,KL,32, ,India,Rural,3450.0,13945.0,4.04202899,564.0,6860.0,7085.0,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available, , ,Not Available,Available,Not Available,Available,Not Available,Available,0.0,175.0,0.0,0.0,0.0,0.0,127.0,127.0,258.0,0.0,389.0,0.0,138.0,0.0,0.0,251.0,Cherthala,1.0,10561.614604410082,10561.614604410082,5674515.289897679,Administrative Boundary,Survey of India (SOI),Kerala,9.677731809802959,76.30511020575476
344,344,34793.0,Mararikkulam North,628213,Mararikkulam North,07,Kanjikkuzhi,110,Cherthala,5673,Cherthala,Alappuzha,554,Alappuzha,KL,32, ,India,Rural,7747.0,31322.0,4.04311346,1726.0,15257.0,16065.0,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available, , ,Not Available,Available,Not Available,Not Available,Available,Available,0.0,301.0,0.0,0.0,0.0,0.0,378.0,378.0,1047.0,100.0,1325.0,0.0,575.0,0.0,0.0,750.0,Cherthala,10.0,18162.970748171192,18162.970748171192,18676035.1187608,Administrative Boundary,Survey of India (SOI),Kerala,9.619502208404004,76.31370060235129
299,299,34748.0,Perungala,628281,Chettikulangara,04,Mavelikkara,119,Mavelikkara,5678,Mavelikkara,Alappuzha,554,Alappuzha,KL,32, ,India,Rural,3790.0,14151.0,3.73377309,783.0,6430.0,7721.0,Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Available,Available,Available,Not Available, , ,Available,Available,Not Available,Not Available,Available,Available,0.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,432.0,182.0,251.0,160.0,90.0,1.0,0.0,0.0,Mavelikkara,4.0,12455.054885035588,12455.054885035588,7677379.158893816,Administrative Boundary,Survey of India (SOI),Kerala,9.207837178122725,76.52322387248837
460,460,34909.0,Thekkekara Part,628280,Mavelikkara-Thekkekkara,03,Mavelikkara,119,Mavelikkara,5678,Mavelikkara,Alappuzha,554,Alappuzha,KL,32, ,India,Rural,8609.0,32373.0,3.76036706,1982.0,14948.0,17425.0,Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available, , ,Available,Available,Not Available,Available,Available,Available,0.0,459.0,0.0,0.0,0.0,0.0,0.0,0.0,1523.0,176.0,1347.0,400.0,567.0,0.0,0.0,380.0,Mavelikkara,6.0,22917.79380060989,22917.79380060989,20887250.007016458,Administrative Boundary,Survey of India (SOI),Kerala,9.212817094546228,76.55698292993864
308,308,34757.0,Thriperumthura,628278,Chennithala-Thriperumthura,01,Mavelikkara,119,Mavelikkara,5678,Mavelikkara,Alappuzha,554,Alappuzha,KL,32, ,India,Rural,4021.0,15226.0,3.78662024,1623.0,6990.0,8236.0,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available, , ,Available,Available,Not Available,Available,Not Available,Available,0.0,172.0,0.0,0.0,0.0,0.0,413.0,413.0,1038.0,0.0,1451.0,411.0,229.0,75.0,0.0,736.0,Mavelikkara,8.0,20107.048135496843,20107.048135496843,16577320.822511278,Administrative Boundary,Survey of India (SOI),Kerala,9.286594093660003,76.51267660927974
461,461,34910.0,Vettiyar,628279,Thazhakara,02,Mavelikkara,119,Mavelikkara,5678,Mavelikkara,Alappuzha,554,Alappuzha,KL,32, ,India,Rural,5673.0,21393.0,3.77102062,1217.0,9827.0,11566.0,Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Available,0.0,339.0,0.0,0.0,0.0,0.0,0.0,0.0,878.0,61.0,817.0,252.0,513.0,0.0,0.0,52.0,Mavelikkara,8.0,21818.62229275168,21818.62229275168,14612104.610443464,Administrative Boundary,Survey of India (SOI),Kerala,9.229425181427736,76.59369539630764
293,293,34742.0,Arattupuzha,628255,Arattupuzha,08,Muthukulam,116,Karthikappally,5676,Haripad,Alappuzha,554,Alappuzha,KL,32, ,India,Rural,7471.0,29264.0,3.91701245,2270.0,13886.0,15378.0,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available, , ,Available,Available,Not Available,Available,Available,Available,0.0,715.0,0.0,0.0,0.0,0.0,0.0,0.0,1555.0,711.0,844.0,844.0,0.0,0.0,0.0,0.0,Kayamkulam,11.0,34383.47119788116,34383.47119788116,22472280.88203564,Administrative Boundary,Survey of India (SOI),Kerala,9.196564949942758,76.44365610065555
676,676,35125.0,Kadakkarappally,628210,"Kadakkarappally, Pattanakkad","05, 04",Pattanakkad,109,Cherthala,5673,Cherthala,Alappuzha,554,Alappuzha,KL,32, ,India,Rural,5094.0,20487.0,4.02179034,881.0,10142.0,10345.0,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available, , ,Not Available,Available,Not Available,Not Available,Available,Available,0.0,399.0,0.0,0.0,0.0,0.0,0.0,0.0,482.0,127.0,355.0,0.0,151.0,0.0,0.0,204.0,Cherthala,3.0,14136.305957029275,14136.305957029275,10142530.16085882,Administrative Boundary,Survey of India (SOI),Kerala,9.699762011688579,76.30106982516531
670,670,35119.0,Pattanakkad,628209,Pattanakkad,04,Pattanakkad,109,Cherthala,5673,Cherthala,Alappuzha,554,Alappuzha,KL,32, ,India,Rural,7744.0,31629.0,4.08432335,1545.0,15550.0,16079.0,Available,Not Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available, , ,Not Available,Available,Not Available,Available,Available,Available,0.0,245.0,0.0,19.0,0.0,0.0,0.0,0.0,1281.0,1034.0,247.0,0.0,247.0,0.0,0.0,0.0,Cherthala,6.0,18881.161828204527,18881.161828204527,16838376.96159834,Administrative Boundary,Survey of India (SOI),Kerala,9.732091105275396,76.30384205038514
678,678,35127.0,Thuravoor Thekku,628208,Thuravoor,03,Pattanakkad,109,Cherthala,5673,Cherthala,Alappuzha,554,Alappuzha,KL,32, ,India,Rural,6966.0,28802.0,4.13465403,1917.0,13915.0,14887.0,Available,Not Available,Not Available, , ,Available,Not Available,Not Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available, , ,Not Available,Available,Not Available,Available,Available,Available,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1917.0,1446.0,471.0,445.0,26.0,0.0,0.0,0.0,Cherthala,10.0,26393.52838389021,26393.52838389021,20658685.6371348,Administrative Boundary,Survey of India (SOI),Kerala,9.765049536358196,76.31328284591554
671,671,35120.0,Perumbalam,628206,Perumbalam,01,Thaikattussery,108,Cherthala,5673,Cherthala,Alappuzha,554,Alappuzha,KL,32, ,India,Rural,2365.0,9733.0,4.1154334,1461.0,4880.0,4853.0,Available,Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available, , ,Available,Available,Not Available,Not Available,Not Available,Available,0.0,409.0,16.0,0.0,0.0,0.0,0.0,0.0,1036.0,505.0,531.0,0.0,0.0,0.0,0.0,531.0,Cherthala,19.0,16937.70396038543,16937.70396038543,14565855.212358097,Administrative Boundary,Survey of India (SOI),Kerala,9.855877271956633,76.35584521062704
314,314,34763.0,Edathua,628247,"Edathua, Ramankary","07, 05",Veliyanad (Part),104,Kuttanad,5675,Mancomb,Alappuzha,554,Alappuzha,KL,32, ,India,Rural,5468.0,21699.0,3.96836138,2712.0,10378.0,11321.0,Available,Not Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available, , ,Available,Available,Not Available,Not Available,Not Available,Available,0.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,2501.0,0.0,2501.0,0.0,0.0,0.0,0.0,2501.0,Thiruvalla,12.0,30549.93545794987,30549.93545794987,27763253.86968251,Administrative Boundary,Survey of India (SOI),Kerala,9.376993074619104,76.46201130273944
324,324,34773.0,Kunnumma,628239,"Kavalam, Pulinkunnu, Neelamperoor","03, 02, 90",Veliyanad (Part),104,Kuttanad,5675,Mancomb,Alappuzha,554,Alappuzha,KL,32, ,India,Rural,3420.0,14252.0,4.16725146,1096.0,6961.0,7291.0,Not Available,Available,Not Available, , ,Available,Available,Available,Not Available, , ,Not Available, , ,Not Available, , ,Available,Available,Not Available,Not Available,Not Available,Available,0.0,169.0,0.0,0.0,0.0,0.0,440.0,440.0,487.0,463.0,463.0,463.0,0.0,0.0,0.0,0.0,Changanassery,15.0,25910.715687182936,25910.715687182936,15438282.56820208,Administrative Boundary,Survey of India (SOI),Kerala,9.479154902534308,76.44678134568059
315,315,34764.0,Muttar,628248,Muttar,91,Veliyanad (Part),104,Kuttanad,5675,Mancomb,Alappuzha,554,Alappuzha,KL,32, ,India,Rural,2264.0,9200.0,4.06360424,1048.0,4437.0,4763.0,Available,Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available, , ,Available,Not Available,Not Available,Not Available, , ,Available,Available,Not Available,Not Available,Available,Available,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1046.0,70.0,976.0,0.0,0.0,0.0,0.0,976.0,Changanassery,8.0,17945.2337546314,17945.2337546314,11260690.111181682,Administrative Boundary,Survey of India (SOI),Kerala,9.400233992714842,76.4912602033236
307,307,34756.0,Ramankary,628243,"Ramankary, Muttar","05, 91",Veliyanad (Part),104,Kuttanad,5675,Mancomb,Alappuzha,554,Alappuzha,KL,32, ,India,Rural,2611.0,10755.0,4.11911145,1135.0,5187.0,5568.0,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,0.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0,889.0,74.0,815.0,815.0,0.0,0.0,0.0,0.0,Changanassery,10.0,19881.932117301265,19881.932117301265,11391084.025151994,Administrative Boundary,Survey of India (SOI),Kerala,9.422221369228795,76.4644923017361
316,316,34765.0,Veliyanad,628242,Veliyanad,04,Veliyanad (Part),104,Kuttanad,5675,Mancomb,Alappuzha,554,Alappuzha,KL,32, ,India,Rural,3041.0,12501.0,4.11081881,1941.0,6025.0,6476.0,Available,Not Available,Not Available, , ,Available,Available,Available,Not Available, , ,Not Available, , ,Not Available, , ,Available,Available,Not Available,Not Available,Available,Available,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,1766.0,204.0,1562.0,0.0,0.0,0.0,0.0,1562.0,Changanassery,10.0,23132.81136096345,23132.81136096345,19904852.464977145,Administrative Boundary,Survey of India (SOI),Kerala,9.439283919661301,76.48348532542882
908,908,35357.0,Ayyampuzha,627967,"Ayyampuzha, Karukutty","05, 02",Angamaly,77,Aluva,5658,Aluva,Ernakulam,555,Kakkanad,KL,32, ,India,Rural,3650.0,14253.0,3.90493151,4405.0,7227.0,7026.0,Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Available,Available,Available,Not Available, , ,Available,Available,Not Available,Not Available,Available,Available,728.0,20.0,12.0,0.0,0.0,2114.0,1341.0,1341.0,190.0,1382.0,149.0,9.0,140.0,0.0,0.0,0.0,Angamaly,15.0,83951.85400293572,83951.85400293572,252507551.294229,Administrative Boundary,Survey of India (SOI),Kerala,10.24134681120981,76.56562060452127
