village,vlcode,block,district,shoreline_distance_km,shoreline_proximity_score,erosion_baseline_score,coastal_hazard_score,coastal_hazard_category,hazard_model,hazard_data_quality
Debendranarayanpur,395875,Rajnagar,Kendrapara,0.1378600610157659,0.986540029930918,0.2938079811515241,0.7094472104191605,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Sanagahiramatha,395830,Rajnagar,Kendrapara,0.1423967204448532,0.9859608012198452,0.2938079811515241,0.7090996731925168,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Panchanpur,396515,Marsaghai,Kendrapara,0.1446843255569992,0.985668725832379,0.2938079811515241,0.7089244279600371,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Jaudia,396018,Rajnagar,Kendrapara,0.1455684719462064,0.985555840353223,0.2938079811515241,0.7088566966725434,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Habelichintamanipur,395829,Rajnagar,Kendrapara,0.1539249845274138,0.9844889028660394,0.2938079811515241,0.7082165341802333,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Nalitapatia,395760,Rajnagar,Kendrapara,0.1552092320573043,0.9843249335284542,0.2938079811515241,0.7081181525776821,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Surtipur,396490,Marsaghai,Kendrapara,0.1678930447668907,0.9827054977735548,0.2938079811515241,0.7071464911247425,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Kharakhara,396105,Rajkanika,Kendrapara,0.1750769326024152,0.9817882779212592,0.2938079811515241,0.7065961592133652,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Badagahiramatha,395831,Rajnagar,Kendrapara,0.1766228705072611,0.9815908966467728,0.2938079811515241,0.7064777304486733,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Gahamapal,395599,Rajkanika,Kendrapara,0.1773913585913726,0.981492778114978,0.2938079811515241,0.7064188593295964,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Jagadispur,396522,Marsaghai,Kendrapara,0.1834588359854657,0.980718098603461,0.2938079811515241,0.7059540516226863,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Dakhinadandi,395935,Rajnagar,Kendrapara,0.1928248237343639,0.9795222739892224,0.2938079811515241,0.705236556854143,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Paunsiapal,396975,Mahakalapada,Kendrapara,0.194360861098337,0.9793261567896836,0.2938079811515241,0.7051188865344198,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Panasaganda,395644,Rajkanika,Kendrapara,0.2038549376829667,0.9781139781307162,0.2938079811515241,0.7043915793390394,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Badajoramuhan,395714,Rajkanika,Kendrapara,0.2042029491545328,0.9780695449438604,0.2938079811515241,0.7043649194269259,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Rajrajeswaripur,395873,Rajnagar,Kendrapara,0.2079922665491156,0.977585734892738,0.2938079811515241,0.7040746333962524,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Sailendranarayanpur Purbajungal Block,395810,Rajnagar,Kendrapara,0.2101992270969001,0.9773039559905604,0.2938079811515241,0.7039055660549458,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Ostia,395614,Rajkanika,Kendrapara,0.2124368923627538,0.9770182567909592,0.2938079811515241,0.7037341465351852,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Mahurigan,395613,Rajkanika,Kendrapara,0.212937115050882,0.9769543896774096,0.2938079811515241,0.7036958262670554,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Niladripur,396523,Marsaghai,Kendrapara,0.2137919166839548,0.976845250859324,0.2938079811515241,0.7036303429762041,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Sailendra Sarai,395781,Rajnagar,Kendrapara,0.2239406510806506,0.9755494872174844,0.2938079811515241,0.7028528847911002,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Bilabalarampur,396712,Marsaghai,Kendrapara,0.2239776611188604,0.9755447618734148,0.2938079811515241,0.7028500495846586,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Chakarpur,396516,Marsaghai,Kendrapara,0.2278194890165065,0.9750542474197508,0.2938079811515241,0.7025557409124601,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Paunsiapal,397011,Mahakalapada,Kendrapara,0.2301005732398978,0.974763004602163,0.2938079811515241,0.7023809952219076,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Sahebnagar,395881,Rajnagar,Kendrapara,0.230813277009088,0.9746720084645736,0.2938079811515241,0.7023263975393539,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Tangataila,395932,Rajnagar,Kendrapara,0.2342110208410698,0.9742381934932016,0.2938079811515241,0.7020661085565305,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Mohanpur,395879,Rajnagar,Kendrapara,0.2350555617807456,0.9741303647333877,0.2938079811515241,0.7020014113006423,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Laxmiprasad Dia,395687,Rajkanika,Kendrapara,0.2437598402065706,0.9730190254203492,0.2938079811515241,0.7013346077128191,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Garjanpur,396001,Rajnagar,Kendrapara,0.2444030828217585,0.9729368978997084,0.2938079811515241,0.7012853312004346,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Junapanga,396019,Rajnagar,Kendrapara,0.2452730567785802,0.9728258219193414,0.2938079811515241,0.7012186856122145,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Habalaganda,395711,Rajkanika,Kendrapara,0.2518969301146657,0.9719801032413706,0.2938079811515241,0.7007112544054319,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Rajendranarayanpur,395802,Rajnagar,Kendrapara,0.2519560447485655,0.9719725556408212,0.2938079811515241,0.7007067258451023,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Jaganathpur,396535,Marsaghai,Kendrapara,0.2530852832375178,0.9718283774487674,0.2938079811515241,0.70062021892987,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Hindulia,396895,Marsaghai,Kendrapara,0.2561581698263891,0.971436039393428,0.2938079811515241,0.7003848160966664,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Pancheswar,395913,Rajnagar,Kendrapara,0.260296330270959,0.9709076899817104,0.2938079811515241,0.700067806449636,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Gopaljewpatna J Block,395809,Rajnagar,Kendrapara,0.2613861794943166,0.9707685409072035,0.2938079811515241,0.6999843170049318,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Satavaya,396069,Rajnagar,Kendrapara,0.2614917952808045,0.9707550561621324,0.2938079811515241,0.699976226157889,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Sahoo Pada,396985,Mahakalapada,Kendrapara,0.2625448510671793,0.970620604776622,0.2938079811515241,0.6998955553265829,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Naladia,395930,Rajnagar,Kendrapara,0.2641177752972221,0.9704197779593076,0.2938079811515241,0.6997750592361942,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Badpalli,396033,Rajnagar,Kendrapara,0.2651593737511157,0.970286789415791,0.2938079811515241,0.6996952661100844,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Kanhupur,396072,Rajnagar,Kendrapara,0.2668963977779157,0.970065010769218,0.2938079811515241,0.6995621989221406,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Barahipur,396068,Rajnagar,Kendrapara,0.2765118713814893,0.96883733245904,0.2938079811515241,0.6988255919360336,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Upulei,395680,Rajkanika,Kendrapara,0.2790273211381542,0.9685161664682717,0.2938079811515241,0.6986328923415726,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Bada Rahama,396990,Mahakalapada,Kendrapara,0.2794182833117572,0.9684662494490563,0.2938079811515241,0.6986029421300435,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Ratanpur,396893,Marsaghai,Kendrapara,0.2858804368194427,0.9676411787322614,0.2938079811515241,0.6981078996999666,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Bilakalupara,396029,Rajnagar,Kendrapara,0.2900744196528688,0.9671057020651588,0.2938079811515241,0.6977866136997048,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Rajendranarayanpur,395805,Rajnagar,Kendrapara,0.2909049359893703,0.96699966392969,0.2938079811515241,0.6977229908184237,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Mulubasanta,396984,Mahakalapada,Kendrapara,0.2920837654818715,0.9668491540890928,0.2938079811515241,0.6976326849140653,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Fazilpur,395593,Rajkanika,Kendrapara,0.2931803660269487,0.9667091430236344,0.2938079811515241,0.6975486782747904,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Baradia,395618,Rajkanika,Kendrapara,0.2933758792703643,0.9666841804083554,0.2938079811515241,0.6975337007056228,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Gunthala,395604,Rajkanika,Kendrapara,0.2937385487091545,0.9666378757309028,0.2938079811515241,0.6975059178991514,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Durgaprasad,395801,Rajnagar,Kendrapara,0.2959276701999676,0.9663583744724712,0.2938079811515241,0.6973382171440923,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Bandhapara,395938,Rajnagar,Kendrapara,0.2987630822103805,0.9659963565450016,0.2938079811515241,0.6971210063876105,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Sadanandapur,395876,Rajnagar,Kendrapara,0.3031599680967654,0.965434973751227,0.2938079811515241,0.6967841767113458,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Gualigan,395615,Rajkanika,Kendrapara,0.3053116981087375,0.9651602465381988,0.2938079811515241,0.6966193403835288,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Khurusiapat,396963,Mahakalapada,Kendrapara,0.3062116787439816,0.9650453393842692,0.2938079811515241,0.6965503960911712,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Deuli,395617,Rajkanika,Kendrapara,0.3081729567449028,0.9647949285817204,0.2938079811515241,0.6964001496096419,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Kanapur Kaema,395603,Rajkanika,Kendrapara,0.3124293741567541,0.9642514804323072,0.2938079811515241,0.6960740807199939,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Jalopoka,396702,Marsaghai,Kendrapara,0.3131187622133681,0.9641634611834076,0.2938079811515241,0.6960212691706542,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Talapatta,396052,Rajnagar,Kendrapara,0.3136875256118649,0.9640908429727248,0.2938079811515241,0.6959776982442445,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Saradaprasad,395762,Rajnagar,Kendrapara,0.3228822994069212,0.962916878504559,0.2938079811515241,0.6952733195633449,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Odiasala,397012,Mahakalapada,Kendrapara,0.3244416729239343,0.962717781806546,0.2938079811515241,0.6951538615445372,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Kanakapur,395978,Rajnagar,Kendrapara,0.3281769156424145,0.962240875867454,0.2938079811515241,0.694867717981082,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Baripal,396886,Marsaghai,Kendrapara,0.3355848493917781,0.9612950504237704,0.2938079811515241,0.6943002227148718,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Anduli,397042,Mahakalapada,Kendrapara,0.3366497458366538,0.9611590872542104,0.2938079811515241,0.6942186448131358,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Govindapur,395878,Rajnagar,Kendrapara,0.3375702853614734,0.9610415551954816,0.2938079811515241,0.6941481255778985,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Nachhipada,396888,Marsaghai,Kendrapara,0.3384075987435329,0.9609346492311625,0.2938079811515241,0.6940839819993072,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Krishnapriyapur,395882,Rajnagar,Kendrapara,0.3400643543000522,0.9607231190511772,0.2938079811515241,0.693957063891316,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Trilochanpur,395765,Rajnagar,Kendrapara,0.3436605416507649,0.9602639673347018,0.2938079811515241,0.6936815728614307,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Nuagan,395686,Rajkanika,Kendrapara,0.3437135004756291,0.9602572056916148,0.2938079811515241,0.6936775158755786,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Keradasahi,396031,Rajnagar,Kendrapara,0.3481905391583377,0.9596855892001978,0.2938079811515241,0.6933345459807283,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Jayakunda,395759,Rajkanika,Kendrapara,0.3484895382521978,0.9596474137844638,0.2938079811515241,0.693311640731288,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Katakana,395931,Rajnagar,Kendrapara,0.3491979584072078,0.9595569645674356,0.2938079811515241,0.693257371201071,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Suravi,395780,Rajnagar,Kendrapara,0.3613046733480455,0.958011211133632,0.2938079811515241,0.6923299191407888,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Abhaypur,396778,Marsaghai,Kendrapara,0.3622844081229743,0.9578861211814886,0.2938079811515241,0.6922548651695029,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Narayanpur,396519,Marsaghai,Kendrapara,0.3663634158817792,0.957365324228682,0.2938079811515241,0.691942386997819,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Nuadia,395745,Rajkanika,Kendrapara,0.3668970387341506,0.9572971926702504,0.2938079811515241,0.69190150806276,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Chakibanka,395936,Rajnagar,Kendrapara,0.3671963268443389,0.9572589803536738,0.2938079811515241,0.691878580672814,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Nagada,395929,Rajnagar,Kendrapara,0.3747931253895838,0.9562890411509578,0.2938079811515241,0.6912966171511843,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Asoka Dia,395688,Rajkanika,Kendrapara,0.3749115947474777,0.956273915295789,0.2938079811515241,0.691287541638083,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Jagannathapur,396002,Rajnagar,Kendrapara,0.3764600789230265,0.956076208920175,0.2938079811515241,0.6911689178127147,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Raichand,396732,Marsaghai,Kendrapara,0.3774036341219924,0.9559557382808715,0.2938079811515241,0.6910966354291326,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Pokshyot,396701,Marsaghai,Kendrapara,0.3787201306976331,0.9557876514701776,0.2938079811515241,0.6909957833427163,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Bhanja Prasad,395778,Rajnagar,Kendrapara,0.381295747604262,0.9554588034963846,0.2938079811515241,0.6907984745584403,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Naladia,396971,Mahakalapada,Kendrapara,0.381955948485695,0.9553745107890348,0.2938079811515241,0.6907478989340305,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Sanahalapada,395596,Rajkanika,Kendrapara,0.3826200501498851,0.9552897200400304,0.2938079811515241,0.690697024484628,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Subarnpur,395768,Rajnagar,Kendrapara,0.3841848851357672,0.955089926036076,0.2938079811515241,0.6905771480822553,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Balia,396986,Mahakalapada,Kendrapara,0.3878114244527044,0.9546268990606024,0.2938079811515241,0.690299331896971,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Charapada,395648,Rajkanika,Kendrapara,0.3889905652446379,0.9544763494741144,0.2938079811515241,0.6902090021450782,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Akhuadakhini,396796,Marsaghai,Kendrapara,0.3898895379304572,0.9543615710125092,0.2938079811515241,0.6901401350681151,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Agar Bindha,396728,Marsaghai,Kendrapara,0.3908800964463136,0.9542350991136704,0.2938079811515241,0.6900642519288118,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Kaduanasi,395828,Rajnagar,Kendrapara,0.4007918803865296,0.9529695886811892,0.2938079811515241,0.6893049456693232,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Narayanpur,395796,Rajnagar,Kendrapara,0.4024482696225606,0.952758105272038,0.2938079811515241,0.6891780556238325,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Khandiora,395981,Rajnagar,Kendrapara,0.4063560552992845,0.952259169503096,0.2938079811515241,0.6888786941624672,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Kanhupur,396050,Rajnagar,Kendrapara,0.4065392729355606,0.9522357767585083,0.2938079811515241,0.6888646585157145,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Bikeikani,396020,Rajnagar,Kendrapara,0.407850564028717,0.9520683545700892,0.2938079811515241,0.6887642052026632,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Gajipithi,396776,Marsaghai,Kendrapara,0.4142893745117025,0.9512462642291236,0.2938079811515241,0.6882709509980838,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Kulapada,396534,Marsaghai,Kendrapara,0.4195519964956964,0.9505743465336692,0.2938079811515241,0.6878678003808112,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Belpaldia,395926,Rajnagar,Kendrapara,0.4225760771378626,0.950188239892886,0.2938079811515241,0.6876361363963412,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Chanra Kolha,395792,Rajnagar,Kendrapara,0.4233649366230528,0.9500875203943284,0.2938079811515241,0.6875757046972066,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Gangadharprasaddia,395746,Rajkanika,Kendrapara,0.4248410617121049,0.9498990526360408,0.2938079811515241,0.6874626240422341,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Khamagan,396882,Marsaghai,Kendrapara,0.4273383685731263,0.9495802030823388,0.2938079811515241,0.6872713143100129,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Hantapada,396708,Marsaghai,Kendrapara,0.4329625194265895,0.9488621263343148,0.2938079811515241,0.6868404682611986,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Santhapada,395933,Rajnagar,Kendrapara,0.4419142396384303,0.9477191943066324,0.2938079811515241,0.6861547090445892,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Baro,397010,Mahakalapada,Kendrapara,0.4435257512223439,0.9475134407577448,0.2938079811515241,0.6860312569152565,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Bankual,395799,Rajnagar,Kendrapara,0.443807192364677,0.947477507094955,0.2938079811515241,0.6860096967175826,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Potari,396892,Marsaghai,Kendrapara,0.4444031841988154,0.9474014124294212,0.2938079811515241,0.6859640399182623,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Tamulia,396003,Rajnagar,Kendrapara,0.4461315278485303,0.9471807420705008,0.2938079811515241,0.6858316377029101,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Nembara,396546,Marsaghai,Kendrapara,0.4462433684713098,0.9471664625547492,0.2938079811515241,0.6858230699934591,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Baligarh,397131,Mahakalapada,Kendrapara,0.4501067427493281,0.946673197116065,0.2938079811515241,0.6855271107302487,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Mantei,396874,Marsaghai,Kendrapara,0.4511379896566492,0.946541530230714,0.2938079811515241,0.685448110599038,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Kodakan,396973,Mahakalapada,Kendrapara,0.4513699010641245,0.946511920393843,0.2938079811515241,0.6854303446969154,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Sikdarpur,395597,Rajkanika,Kendrapara,0.4553787073906382,0.9460000865747646,0.2938079811515241,0.6851232444054685,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Rajbijaya Nagar,395822,Rajnagar,Kendrapara,0.4554961917639137,0.945985086479834,0.2938079811515241,0.6851142443485101,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Naranpur,396707,Marsaghai,Kendrapara,0.4597477628829393,0.9454422570923074,0.2938079811515241,0.6847885467159942,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Orisbindha,396777,Marsaghai,Kendrapara,0.4618460074234539,0.945174358763214,0.2938079811515241,0.6846278077185379,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Gupti,395838,Rajnagar,Kendrapara,0.4688339772749765,0.9442821532024082,0.2938079811515241,0.6840924843820546,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Chinchiri,395982,Rajnagar,Kendrapara,0.4766019353224213,0.9432903608058616,0.2938079811515241,0.6834974089441266,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Manikipur,396880,Marsaghai,Kendrapara,0.4770137668730694,0.9432377792396254,0.2938079811515241,0.6834658600043848,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
